PK,ticker,Date,category,title,content,Open,High,Low,Close,Adj Close,Volume,label
10,AAPL,24-01-2020,opinion,U S  Open   Coronavirus Ruins Lunar New Year  Intel Adds Fuel To Tech Rally,"The coronavirus outbreak is intensifying  and Beijing is scrambling  Outrage is growing as local officials failed to address the contagion risks earlier  Millions of Chinese are unable to travel to see their families to celebrate the Lunar New Year  which is the equivalent of the Thanksgiving and Christmas holiday combined  
China has the highest emergency levels in place and is locking down 40 million people  State media has the death toll at 26 and concerns are growing that the travel bans in place will start to have a major impact on the economy with some calling for a 1 percentage point hit or greater with Chinese GDP  
Europe s PMI day
The eurozone PMI data readings are hinting that Europe is turning a corner   The German PMI readings all reached 5 month highs as optimism will grow that the bottom is in place for Europe s manufacturing woes   The composite reading for the region as a whole was unchanged  but overall this was a positive PMI day that should see optimism grow for the euro once we see sta...",80.0625,80.832497,79.379997,79.577499,78.089607,146537600,0
11,AAPL,24-01-2020,news,Earnings Outlook  Apple earnings  A year after holiday misfire  Apple is worth twice as much,"What a difference a year makes   After flubbing the holiday period a year ago  Apple Inc  

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    AAPL   2 94 

                            
                                  
      
      
      
      
      
      
      
                                         is sitting pretty as it prepares to update investors on what could be a record quarter of sales  The company s stock has more than doubled over the past 12 months amid optimism about new services like streaming video and the potential for a wave of iPhone upgrades later this year  when 5G phones are expected to hit the market 

Now it s time for Apple to start proving worthy of its lofty valuation  which tops  1 4 trillion  The company s fiscal first quarter report Tuesday will be the first to include the Apple TV  str...",80.0625,80.832497,79.379997,79.577499,78.089607,146537600,0
12,AAPL,24-01-2020,opinion,What Makes Apple  AAPL  A Strong Momentum Stock  Buy Now ,"Momentum investing is all about the idea of following a stock s recent trend  which can be in either direction  In the  long  context  investors will essentially be  buying high  but hoping to sell even higher   And for investors following this methodology  taking advantage of trends in a stock s price is key  once a stock establishes a course  it is more than likely to continue moving in that direction  The goal is that once a stock heads down a fixed path  it will lead to timely and profitable trades 
Even though momentum is a popular stock characteristic  it can be tough to define  Debate surrounding which are the best and worst metrics to focus on is lengthy  but the Zacks Momentum Style Score  part of the Zacks Style Scores  helps address this issue for us 
Below  we take a look at Apple  AAPL   which currently has a Momentum Style Score of B  We also discuss some of the main drivers of the Momentum Style Score  like price change and earnings estimate revisions 
It s also important to note that Style ...",80.0625,80.832497,79.379997,79.577499,78.089607,146537600,0
13,AAPL,24-01-2020,news,Apple gets  400 target on 5G cycle,"Wedbush analyst Dan Ives raises his Apple  NASDAQ AAPL  target from  350 to  400  saying the Street is underestimating the  magnitude of the 5G upgrade cycle  
Ives cites checks with Apple iPhone suppliers that implied that customers want to buy 
The analyst calls the AirPods demand  jaw dropping  and expects upbeat earnings and guidance next week 
Apple will report earnings on January 28 
Apple shares are up 0 3  pre market to  320 25  The company has a Bullish average Sell side rating ",80.0625,80.832497,79.379997,79.577499,78.089607,146537600,0
14,AAPL,24-01-2020,news,Take Five  When China sneezes," Reuters    1 OUTBREAK
Wuhan in central China is the size of London  But these days  flights to and from the city are canceled  highways are shut and soldiers guard the railway station  as China tries to quarantine the center of a virus outbreak that had by Friday killed 26 people and infected hundreds globally  That s actually reassuring when compared to the secretive handling of the 2003 SARS epidemic  And the World Health Organisation says while this is  an emergency in China   it s not of international concern yet 
Still  it s unclear how deadly this illness is  or whether Beijing is revealing the full picture  Falls in share prices and the yuan show markets are pricing slower growth and a monetary policy response  The outbreak coincides with the Lunar New Year holiday    peak season for traveling  entertaining and gift giving  If spending on such services falls 10   Chinese growth would slow 1 2 percentage points  S P Global calculates 
A higher death toll or more cases overseas will put global growth...",80.0625,80.832497,79.379997,79.577499,78.089607,146537600,0
15,AAPL,24-01-2020,news,Top Ten  Weekend reads  Are these red flags for Tesla  Apple and Netflix ,"The long bull market for U S  stocks has been led by companies that have grown rapidly with product and service transformations   But with the ratio of stock prices to expected earnings at much higher levels than a year ago  there are concerns about three of the highfliers  Tesla 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    TSLA   1 20  

                            
                                  
      
      
      
      
      
      
      
                                         Apple 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    AAPL   2 94 

                            
                                  
      
      
...",80.0625,80.832497,79.379997,79.577499,78.089607,146537600,0
16,AAPL,24-01-2020,news,Fiscal policies of main Irish parties vying for power,"DUBLIN  Reuters    Ireland s two largest parties  the governing Fine Gael and main opposition Fianna Fail  laid out their economic policies in election manifestos on Friday ahead of a Feb  8 poll 
While neighboring Britain s Labour and Conservative parties presented starkly opposing economic visions before an election there in December  Ireland s two broadly center right rivals share similar policies on the economy and Brexit 
Polls suggest Fianna Fail may lead another minority government propped up by Fine Gael from the opposition benches  as Fianna Fail has done since 2016 
Here are some of the parties key fiscal policies 
SPENDING VERSUS TAX
Both parties have committed to staying within the 11 billion euros that Ireland s finance ministry forecasts will be available for tax cuts or additional current spending for 2021 2025  Fianna Fail says it will hold back 1 2 billion euros to account for demographic pressures and public pay increases beyond what the finance ministry has allowed for 
Fianna Fail would...",80.0625,80.832497,79.379997,79.577499,78.089607,146537600,0
17,AAPL,24-01-2020,news,Where U S  presidential candidates stand on breaking up Big Tech,"By Elizabeth Culliford
 Reuters    In the run up to the U S  2020 presidential election  many Democratic White House contenders have argued in favor of either breaking up or tightening regulation of companies such as  Facebook Inc   O FB   Alphabet Inc s Google  O GOOGL  and Amazon com Inc  O AMZN  
Republican President Donald Trump s administration has also stepped up its scrutiny of Big Tech  conducting a wide ranging probe into whether major digital tech companies engaged in anticompetitive practices 
Social media platforms are under particular scrutiny over their efforts to curb dissemination of misinformation and false claims  years after U S  intelligence agencies said Russia used them to wage an influence operation aimed at interfering with the 2016 election  Moscow has denied the claim 
Here are the leading presidential candidates  positions on Big Tech 
PRESIDENT TRUMP
Trump  whose digital campaign helped propel him to the White House in 2016  has stopped short of calling for tech giants to be bro...",80.0625,80.832497,79.379997,79.577499,78.089607,146537600,0
18,AAPL,24-01-2020,news,Need to Know  Apple shares are bound for  400  says analyst who sparked Tesla rally this week,"A week that started with a coronavirus panic looks set to end on a high note  Earnings optimism and the fact that investors no longer seem to be panicking over the deadly China illness is helping  Wall Street has also been distracted by red hot Tesla 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    TSLA   1 20 

                            
                                  
      
      
      
      
      
      
      
                                         shares  up 12  this week  The stock has now more than doubled over three months  While some warn of nosebleed territory  consumer advocate Ralph Nader said Tesla could end up triggering a market crash  To be sure  other stocks may be getting far less attention  which brings us to our call of the day from Wedbush analyst Dan Ives who has bumped his Apple 

   ...",80.0625,80.832497,79.379997,79.577499,78.089607,146537600,0
19,AAPL,24-01-2020,news,Need to Know  Apple shares are bound for  400  says analyst who helped spark Tesla rally this week,"A week that started with a coronavirus panic looks set to end on a high note  Earnings optimism and the fact that investors no longer seem to be panicking over the deadly China illness is helping  Wall Street has also been distracted by red hot Tesla 

                            
                            
                                  
      
      
      
      
      
      
      
                                  
                                    TSLA   1 20 

                            
                                  
      
      
      
      
      
      
      
                                         shares  up 12  this week  The stock has now more than doubled over three months  While some warn of nosebleed territory  consumer advocate Ralph Nader said Tesla could end up triggering a market crash  To be sure  other stocks may be getting far less attention  which brings us to our call of the day from Wedbush analyst Dan Ives who has bumped his Apple 

   ...",80.0625,80.832497,79.379997,79.577499,78.089607,146537600,0
20,AAPL,24-01-2020,news,Top Apple Analyst Now Sees Stock Surging 25  More in 2020 to  400,Now that 2020 is well underway  most investors have already moved on from the fact that the S P 500 index rose nearly 29  and that the Nasdaq rose by 35  in 2019  It s what the market can do in 2020 that matters  What was impressive above any of the major stocks is that Apple Inc   NASDAQ  AAPL  posted a gain of 85  in 2019  Its run has continued in 2020 with a gain of 8 7   It most recently closed at  319 23 a share  and many on Wall Street have rapidly increased their expectations for 2020  based on a coming iPhone supercycle and with Apple s services on their way to becoming the next  100 billion category Wedbush Securities has been among the most bullish firms when it comes to Apple posting ever higher returns  When the firm s Daniel Ives first posted a  350 price target on Apple  many analysts were still  75 or even  100 lower with their price targets  Now Ives is at it again  formally raising his price target to  400  currently a street high target price It may seem amazing that Apple can keep runnin...,80.0625,80.832497,79.379997,79.577499,78.089607,146537600,0
21,AAPL,24-01-2020,news,NewsWatch  Apple shares are bound for  400  says analyst who helped spark Tesla rally this week,MARKETWATCH FRONT PAGE  Investors are overlooking all the positives about Apple right now  says Wedbush analyst Dan Ives who has lifted his price target to  400  See full story  As China locks down 3 cities  here s why the mysterious coronavirus continues to spread so rapidly A U S  citizen who recently returned from central China has been diagnosed with the new virus  the CDC said Tuesday  See full story  Intel stock jumps as cloud pushes quarterly revenue higher than  20 billion for first time Intel Corp  shares rallied in the extended session Thursday after the chip maker s quarterly results and outlook topped Wall Street estimates with a big beat in data center sales  See full story  When companies can spend  120 to get your order delivered overnight  How speedy shipping is changing retail As retailers spar over expedited shipping  Amazon is spending billions to get the upper hand  See full story  U S  pot retailer MedMen says it s trying to use stock to pay its bills amid cannabis industry s cash crun...,80.0625,80.832497,79.379997,79.577499,78.089607,146537600,0
22,AAPL,24-01-2020,news,Apple TV  had 34M subscribers in Q4,"Apple  AAPL  1 2   TV  had 33 6M U S  subscribers in Q4  according to new Ampere Analysis data via the WSJ 
The figure put Apple in third place among the top streaming video services  behind Netflix  61 3M  and Amazon Prime Video  42 2M   and two slots ahead of Disney   23 2M  
Apple TV  launched in Q4 with only 11 series or movies available for streaming  The company offset the soft launch with a  4 99 month price and offered free subscriptions to customers purchasing a new Apple device 
The Apple data was included in WSJ s article about how Amazon Prime Video accepts  nonprofessional and questionable content  to bolster its video content library ",80.0625,80.832497,79.379997,79.577499,78.089607,146537600,0
23,AAPL,24-01-2020,news,Rosenblatt lifts Apple target  cautious on 5G,"Rosenblatt analyst Jun Zhang raises Apple s  NASDAQ AAPL  target from  150 to  250  praising the strong AirPods performance 
Zhang is concerned about iPhone ASPs from the iPhone 11 family skewing towards the cheaper model  and the potential impact of the low cost iPhone SE successor  which earlier reports suggested could launch in March 
The analyst is also cautious about the 5G optimism   We believe the market has become too enthusiastic about the upcoming 5G cycle  We expect the cycle to be similar to a regular smartphone upgrade cycle  or even slower than a regular upgrade cycle  due to consumers waiting for 5G networks to get better and 5G phone prices to drop  ",80.0625,80.832497,79.379997,79.577499,78.089607,146537600,0
24,AAPL,23-01-2020,opinion,Will GPU Adoption   EPYC Deal Wins Aid AMD s Q4 Earnings ,Advanced Micro Devices   NASDAQ AMD   fourth quarter 2019 results  set to be released on Jan 28  are likely to reflect robust demand for graphic processor units  GPUs   which are now widely utilized in industries like gaming  automotive and blockchain Moreover  seasonal uptick in holiday season and robust sales of Ryzen  Radeon and EPYC products are expected to have driven the top line in the to be reported quarter Notably  strength in Computing and Graphics segment drove year over year improvement in the third quarter  amid softness in Enterprise  Embedded and Semi Custom vertical  a trend that is likely to have continued in the fourth quarter Notably  the Zacks Consensus Estimate for computing and graphics segment for the fourth quarter is pegged at  1 536 billion  indicating an increase of 63 5  from the year ago quarter reported figure Moreover  the consensus mark for Enterprise  Embedded and Semi Custom segment for the fourth quarter is pegged at  566 million  indicating an upside of 8 6  from the yea...,79.480003,79.889999,78.912498,79.807503,78.315315,104472000,1
25,AAPL,23-01-2020,opinion,Intel s  INTC  Q4 Earnings Beat  DCG Growth Aids Revenues,"Intel   NASDAQ INTC   reported fourth quarter 2019 non GAAP earnings of  1 52 per share  which beat the Zacks Consensus Estimate by 22 6   The figure improved 18 8  from the year ago quarter and 7  sequentially Revenues totaled  20 21 billion  beating the consensus mark by 5 2   The figure increased 8 8  year over year and 5 3  sequentially Notably  during the quarter  Intel completed IMFT and 5G smartphone modem sale Segment Revenue DetailsClient Computing Group or CCG  49 5  of total revenues  represents Intel s PC centric business  The company bundles PCs  notebooks  2 in 1s  tablets and other computing devices under the Client segment  which aids comparison with the PC market numbers provided by IDC and Gartner Revenues were up 1 9  on a year over year basis and 3 1  sequentially to  10 01 billion  Higher modem sales and desktop platform volumes drove the top line  Intel Corporation Price  Consensus and EPS Surprise    
Notably  Platform revenues increased 0 3  year over year and 2 1  sequentially  Adj...",79.480003,79.889999,78.912498,79.807503,78.315315,104472000,1
26,AAPL,23-01-2020,opinion,Markets To Open At New Record Highs  New Q4 Results   More,Friday  January 24  2020We close out this week with higher pre market futures   so high  in fact  they look to bring about new all time levels by today s closing bell  should current sentiment continue  This partly has to do with a better than expected Q4 earnings season overall so far  along with a void of economic metrics this week that might cause market participants pause This changes next week  when we see big economic data hit the tape from a number of sources  Durable Goods Orders  Consumer Confidence  Q4 GDP and Personal Income Consumer Spending  In addition  though Q4 earnings season rolls along moderately as it has for the past couple weeks  next week it really catches fire with companies such as Apple  NASDAQ AAPL   Facebook  NASDAQ FB   Microsoft  NASDAQ MSFT   Boeing  NYSE BA   Pfizer  NYSE PFE   Starbucks  NASDAQ SBUX   AT T  NYSE T  and many  many more reporting quarterly results As of now  however  we end this week Ahead of Wall Street where we began  with a developing story about a deadly ...,79.480003,79.889999,78.912498,79.807503,78.315315,104472000,1
27,AAPL,23-01-2020,opinion,Dynatrace  DT  To Post Q3 Earnings  What s In The Offing ,Dynatrace   NYSE DT   is set to report third quarter fiscal 2020 results on Jan 29 For third quarter fiscal 2020  the company projects revenues of  137  138 million  indicating year over year growth of 19 20   The Zacks Consensus Estimate for revenues is pegged at  137 5 million The company also projects non GAAP earnings between 6 cents and 7 cents per share  The consensus mark for earnings  which stands at 6 cents per share  has been unchanged over the past 30 days  The estimate suggests no earnings growth sequentially Dynatrace  Inc  Price and EPS Surprise   Notably  the company s earnings beat the Zacks Consensus Estimate in the trailing two quarters  the average positive surprise being 41 67  Let s see how things are shaping up for the upcoming announcement Factors at PlayThe company s new Dynatrace Software Intelligence Platform continues to gain adoption  This is expected to have been a tailwind for the quarter under review The company s growing popularity  primarily owing to the free trial of the D...,79.480003,79.889999,78.912498,79.807503,78.315315,104472000,1
28,AAPL,23-01-2020,opinion,Exact Sciences  GameStop  Intel  Intuitive Surgical And Skyworks Highlighted As Zacks Bull And Bear Of The Day,For Immediate ReleaseChicago  IL   January 24  2019    Exact Sciences   NASDAQ EXAS   as the Bull of the Day  GameStop   NYSE GME   as the Bear of the Day  In addition  Zacks Equity Research provides analysis on Intel Corp    NASDAQ INTC    Intuitive Surgical   NASDAQ ISRG   and Skyworks Solutions   NASDAQ SWKS   Here is a synopsis of all five stocks  Exact Sciences  maker of the revolutionary Cologuard cancer detection test kit  recently gave investors a preview of its Q4 earnings report scheduled for release in mid February  On January 12  Exact s preliminary look at the quarter showed expected total revenue of  294 296 million  including Screening revenue  i e   Cologuard  of  229 230 million  an increase of 61  from 2018  and Precision Oncology revenue    from the recently closed acquisition of Genomic Health    of  65 66M for the period Nov  8  2019 through Dec  31  2019 The combined company did not offer full year 2020 guidance  but investors can expect that outlook at the upcoming conference call  U...,79.480003,79.889999,78.912498,79.807503,78.315315,104472000,1
29,AAPL,23-01-2020,opinion,What Investors Can Expect From Microsoft s Q2 Earnings   Beyond,"Microsoft   NASDAQ MSFT   shares have surged 55  over the last year to outpace the likes of Facebook   NASDAQ FB   and Amazon   NASDAQ AMZN    This climb is part of a much longer run from the historic tech powerhouse  as it expands its cloud computing business 
Microsoft is one of only three public companies in the U S  that currently holds a market cap of  1 trillion or higher  MSFT rests alongside Apple   NASDAQ AAPL   and newcomer Alphabet   NASDAQ GOOGL    Investors have rewarded Microsoft for its ability to compete against Amazon in the cloud space 
Last quarter  the company s Intelligent Cloud revenue surged 27   driven by 59  expansion in the key Azure division  The Redmond  Washington based firm s other businesses  from Office and Windows to gaming and devices have also evolved and expanded 
Looking ahead  our current Zacks estimates call for Microsoft s adjusted Q2 fiscal 2020 earnings to climb 20  on 9 9  higher sales that would see it reach  35 69 billion  Microsoft has a strong history of quart...",79.480003,79.889999,78.912498,79.807503,78.315315,104472000,1
30,AAPL,23-01-2020,opinion,Intel  Intuitive  Skyworks All Beat Earnings,After another record close for the Nasdaq Thursday  Intel Corp    NASDAQ INTC   reported Q4 earnings results that is keeping the party going into after hours trading  Earnings of  1 52 per share easily surpassed the  1 24 in the Zacks consensus  with  20 2 billion in top line sales outpacing the  19 2 billion expected  These figures were led by a notable positive surprise in its Data Center Group  DCG   which brought in  7 2 billion in the quarter Guidance for Q1 and full year 2020 were up as well  helping shares boost as much as 6  on the earnings release  Intel stock has come down a bit since  but remains at strong levels  The company had been running hotter going into the earnings numbers  but had not seen the extravagant multiples of some of its Big Tech brethren  Intel has not missed an earnings consensus since Q4 2013  exactly 6 years ago Intuitive Surgical   NASDAQ ISRG    a zacks Rank  1  Strong Buy  company  also put up better than expected numbers in its fiscal Q1 2020 report Thursday afternoon  ...,79.480003,79.889999,78.912498,79.807503,78.315315,104472000,1
31,AAPL,23-01-2020,opinion,Tech Daily  Netflix Earnings  Analyst Opinion  IPhone Demand  More,Netflix   NASDAQ NFLX   Earnings  Analyst Opinion  iPhone Demand and much more is covered in this digest Netflix EarningsNetflix reported earnings of  1 30 thrashing the Zacks Consensus Estimate of 52 cents on sales of  5 47 billion that was more or less in line  International paid subscribers totaled 99 43 million  with EMEA  Latin America and Asia Pac growing by 4 42 million  2 04 million and 1 75 million  respectively  Paid subscribers in the U S  and Canada totaled 67 66 million  up 550 000 in the quarter The launch of Apple s TV  and Disney  in November impacted subscriber additions in the quarter and Netflix attributed its lower membership growth in the U S  and Canada  to our recent price changes and to U S  competitive launches   But while the churn is  elevated  at the moment  it may be expected to stabilize as we move through the year  These services will launch in various international markets this year  so there may be added pressure in those markets as well An added concern that may have also ...,79.480003,79.889999,78.912498,79.807503,78.315315,104472000,1
32,AAPL,23-01-2020,opinion,Apple Q1 Earnings Preview,"When  
Tuesday 28th January after US close
Expectations 
Revenue  85 5 billion    89 5 billion
EPS  4 53
A lot to live up to
After rallying over 100  across the previous year  33  in the past three months alone and joining the exclusive  1 trillion dollar club  the pressure is on Apple  NASDAQ AAPL  to prove that it is worth recent lofty valuations  After returning to top and bottom line growth the market will want to see that the momentum can continue  
Favourable earnings expected
Revenue guidance is between  85 5 billion and  89 5 billion with the midpoint implying 4  growth  Apple s guidance is typically conservative  Services and wearables are expected to see another period of strong growth whilst iPhone sales saw an upswing in demand in the final part of Q4 boding well for Q1 
Key points to watch for on earnings call  
1  5G   management comments on plan to capitalise on 5G network 
2  Emerging services   comments on financial services  how Apple card is performing  and healthcare could be increasing...",79.480003,79.889999,78.912498,79.807503,78.315315,104472000,1
33,AAPL,23-01-2020,opinion,Lam Research  LRCX  To Report Q2 Earnings  What s In Store ,"Lam Research Corporation   NASDAQ LRCX   is slated to report second quarter fiscal 2019 results on Jan 29  In the last reported quarter  the company delivered a positive earnings surprise of 6  Lam Research s surprise history has been pretty impressive  The company surpassed estimates in each of the trailing four quarters  with the average being 6 9  For the fiscal second quarter  the Zacks Consensus Estimate for earnings has decreased 0 3  to  3 81 per share over the past 30 days  This indicates a decline of 1 6  from the year ago reported figure The consensus mark for revenues is pegged at  2 50 billion  implying a decline of 0 8  from the year ago reported figure Let s see how things have shaped up for this announcement 
Lam Research Corporation Price and EPS Surprise
    Factors to NoteLam Research has been witnessing improvement in the memory market  led by NAND  Increased adoption rates for 3D NAND technology  FinFETs and multi patterning are expected to have aided its top line growth Spending in the...",79.480003,79.889999,78.912498,79.807503,78.315315,104472000,1
